Date,AveragePrice,TotalVolume,Plu4046,Plu4225,Plu4770,TotalBags,SmallBags,LargeBags,XLargeBags,Type,Year,Region,,Type,Organic,,
3/22/2015,1.86,1375.02,40.57,326.78,0,1007.67,1007.67,0,0,organic,2015,Albany,,,,,
3/29/2015,1.02,67799.08,1402.28,58623.22,89.5,7684.08,7208.49,475.59,0,conventional,2015,Albany,,,,,
4/5/2015,1.16,47362.13,961.77,35577.66,93.76,10728.94,9869.16,755.61,104.17,conventional,2015,Albany,,,,,
4/12/2015,1.13,48364.29,864.27,30374.15,21.5,17104.37,16438.49,665.88,0,conventional,2015,Albany,,,,,
4/19/2015,1.19,49064.73,774.15,33941.51,47.15,14301.92,13602.97,698.95,0,conventional,2015,Albany,,,,,
4/19/2015,1.96,1516.24,18.01,102.45,0,1395.78,1395.78,0,0,organic,2015,Albany,,,,,
4/26/2015,1.9,929.61,27.01,30.53,0,872.07,872.07,0,0,organic,2015,Albany,,,,,
5/3/2015,1.2,59197.67,919.87,45490.05,217.24,12570.51,12201.95,368.56,0,conventional,2015,Albany,,,,,
5/3/2015,2.03,1798.99,57.93,130.62,0,1610.44,1610.44,0,0,organic,2015,Albany,,,,,
5/10/2015,1.26,120427.91,1420.43,102000.52,185.66,16821.3,16535.55,285.75,0,conventional,2015,Albany,,,,,
5/10/2015,1.98,2117.48,46.8,523.9,0,1546.78,1546.78,0,0,organic,2015,Albany,,,,,
5/17/2015,1.43,109857.47,1150.55,81955.16,94.32,26657.44,26285.43,372.01,0,conventional,2015,Albany,,,,,
5/17/2015,1.87,1881.08,19.51,213.43,0,1648.14,1648.14,0,0,organic,2015,Albany,,,,,
5/31/2015,1.23,95123.62,922.37,70469.69,50.55,23681.01,23222.49,458.52,0,conventional,2015,Albany,,,,,
6/14/2015,1.32,89631.3,850.58,55400.94,4377.19,29002.59,28343.14,659.45,0,conventional,2015,Albany,,,,,
6/21/2015,1.27,104849.39,804.01,76688.55,5481.18,21875.65,21662,213.65,0,conventional,2015,Albany,,,,,
6/21/2015,2.09,1053.73,17.59,107.87,0,928.27,928.27,0,0,organic,2015,Albany,,,,,
6/28/2015,1.37,89534.81,664.23,57545.79,4662.71,26662.08,26311.76,350.32,0,conventional,2015,Albany,,,,,
6/28/2015,2.02,1200.61,22.35,124.7,0,1053.56,1053.56,0,0,organic,2015,Albany,,,,,
7/5/2015,1.35,109252.12,869.45,72600.55,5883.16,29898.96,29663.19,235.77,0,conventional,2015,Albany,,,,,
7/5/2015,2.04,1573.19,50.69,183.9,0,1338.6,1338.6,0,0,organic,2015,Albany,,,,,
7/12/2015,1.05,124055.31,672.25,94693.52,4257.64,24431.9,24290.08,108.49,33.33,conventional,2015,Albany,,,,,
7/12/2015,2.01,1175.34,34.27,92.17,0,1048.9,1048.9,0,0,organic,2015,Albany,,,,,
7/19/2015,2.08,1076.23,50.86,112.36,0,913.01,913.01,0,0,organic,2015,Albany,,,,,
8/2/2015,1.45,75133.1,509.94,62035.06,741.08,11847.02,11768.52,78.5,0,conventional,2015,Albany,,,,,
8/2/2015,2,1223.94,17.66,103.62,0,1102.66,1102.66,0,0,organic,2015,Albany,,,,,
8/9/2015,1.88,1421.47,79.82,106.81,0,1234.84,1234.84,0,0,organic,2015,Albany,,,,,
8/16/2015,1.33,80043.78,539.65,68666.01,394.9,10443.22,10297.68,145.54,0,conventional,2015,Albany,,,,,
8/23/2015,1.34,79992.09,733.16,67933.79,444.78,10880.36,10745.79,134.57,0,conventional,2015,Albany,,,,,
9/13/2015,1.28,76111.27,985.73,65696.86,142,9286.68,8665.19,621.49,0,conventional,2015,Albany,,,,,
9/13/2015,1.99,902.5,13.86,105.13,0,783.51,783.51,0,0,organic,2015,Albany,,,,,
10/4/2015,1.31,61007.1,2268.32,49880.67,101.36,8756.75,8379.98,376.77,0,conventional,2015,Albany,,,,,
10/18/2015,1.97,969.29,10.31,158.07,0,800.91,800.91,0,0,organic,2015,Albany,,,,,
11/8/2015,0.98,109428.33,703.75,101815.36,80,6829.22,6266.85,562.37,0,conventional,2015,Albany,,,,,
11/22/2015,1.94,858.83,13.84,84.18,0,760.81,755.69,5.12,0,organic,2015,Albany,,,,,
12/6/2015,1.08,78992.15,1132,71976.41,72.58,5811.16,5677.4,133.76,0,conventional,2015,Albany,,,,,
12/6/2015,1.84,1158.42,90.29,104.18,0,963.95,948.52,15.43,0,organic,2015,Albany,,,,,
12/13/2015,0.93,118220.22,794.7,109149.67,130.5,8145.35,8042.21,103.14,0,conventional,2015,Albany,,,,,
12/13/2015,1.85,995.96,10.44,178.7,0,806.82,806.82,0,0,organic,2015,Albany,,,,,
1/3/2016,1.03,149038.15,939.71,139735.9,132.35,8230.19,8056.43,173.76,0,conventional,2016,Albany,,,,,
1/3/2016,1.75,1145.5,7,187.9,0,950.6,950.6,0,0,organic,2016,Albany,,,,,
1/17/2016,1.67,1496.73,66.63,430.17,0,999.93,992.14,7.79,0,organic,2016,Albany,,,,,
3/6/2016,1.92,1704.24,65.94,401.53,0,1236.77,1236.77,0,0,organic,2016,Albany,,,,,
3/13/2016,1.18,108264.9,847.64,96117.13,60.99,11239.14,10817.56,421.58,0,conventional,2016,Albany,,,,,
3/27/2016,1.49,92529.27,808.5,78146.18,36.73,13537.86,13037.43,500.43,0,conventional,2016,Albany,,,,,
3/27/2016,1.65,1705.39,14.07,98.52,0,1592.8,1592.8,0,0,organic,2016,Albany,,,,,
4/3/2016,0.85,81694.23,676.27,70459.66,31.2,10527.1,10058.25,468.85,0,conventional,2016,Albany,,,,,
4/3/2016,1.56,1903.46,36.34,193.4,0,1673.72,1673.72,0,0,organic,2016,Albany,,,,,
4/10/2016,1.46,70253.3,972.15,56128.98,38,13114.17,12671.09,443.08,0,conventional,2016,Albany,,,,,
4/10/2016,1.62,2161.66,7.04,161.85,0,1992.77,1992.77,0,0,organic,2016,Albany,,,,,
5/1/2016,1.78,1604,5.86,240.42,0,1357.72,1357.72,0,0,organic,2016,Albany,,,,,
5/15/2016,1.36,96924.19,901.65,75847.91,82.97,20091.66,19802.87,288.79,0,conventional,2016,Albany,,,,,
5/22/2016,1.55,1193.06,26.72,346.19,0,820.15,820.15,0,0,organic,2016,Albany,,,,,
6/5/2016,1.47,115857.12,4288.46,92055.75,53.98,19458.93,17385.6,398.33,1675,conventional,2016,Albany,,,,,
6/12/2016,1.38,111394.5,7531.24,83771.34,81.25,20010.67,18368.49,282.18,1360,conventional,2016,Albany,,,,,
6/19/2016,1.42,112817.51,6766.63,85374.27,30.07,20646.54,18526.59,389.95,1730,conventional,2016,Albany,,,,Albany,
6/26/2016,1.5,133086.66,7923.01,106656.84,37.42,18469.39,16479.75,419.64,1570,conventional,2016,Albany,,,,,
6/26/2016,1.53,1922.75,0,162.87,0,1759.88,1759.88,0,0,organic,2016,Albany,,,,,
7/10/2016,1.58,2173.2,31.76,113.57,0,2027.87,2027.87,0,0,organic,2016,Albany,,,,,
7/17/2016,1.57,2399.74,16.56,201.12,0,2182.06,2182.06,0,0,organic,2016,Albany,,,,,
7/31/2016,1.61,125586.57,9293.65,96915.41,25.46,19352.05,18803.23,78.82,470,conventional,2016,Albany,,,,,1.5
8/7/2016,1.48,99683.11,14670.87,69054.28,10.9,15947.06,14597.2,178.19,1171.67,conventional,2016,Albany,,,,,
8/14/2016,1.72,1609.03,29.39,252.78,0,1326.86,1326.86,0,0,organic,2016,Albany,,,,,
8/28/2016,1.66,1922.46,17.35,200.92,0,1704.19,1704.19,0,0,organic,2016,Albany,,,,,Albany
9/4/2016,1.44,95456.26,14741.13,64966.75,88.11,15660.27,15340.19,220.08,100,conventional,2016,Albany,,,,,
9/4/2016,1.73,2194.77,52.26,181.76,0,1960.75,1960.75,0,0,organic,2016,Albany,,,,,
9/11/2016,1.68,3501.41,128.94,227.69,0,3144.78,3144.78,0,0,organic,2016,Albany,,,,,
9/18/2016,1.39,79513.63,6624.37,63384.56,37.48,9467.22,8958.14,509.08,0,conventional,2016,Albany,,,,,
9/18/2016,1.69,2137.53,47.35,194.65,0,1895.53,1895.53,0,0,organic,2016,Albany,,,,,
10/2/2016,1.51,75480.26,4109.22,57515.76,84.08,13771.2,13345.52,425.68,0,conventional,2016,Albany,,,,,
10/16/2016,1.4,69060.9,4027.42,54186.55,53.77,10793.16,10434.39,358.77,0,conventional,2016,Albany,,,,,
11/6/2016,1.63,57178.2,3212.04,43024.32,36.4,10905.44,10474.09,431.35,0,conventional,2016,Albany,,,,,
11/27/2016,1.52,58171.89,2793.99,47106.18,18.14,8253.58,7973.98,279.6,0,conventional,2016,Albany,,,,,
2/26/2017,1.71,2185.96,508.31,240.1,0,1437.55,1437.55,0,0,organic,2017,Albany,,,,,
3/12/2017,1.54,95713.29,2046.8,67162.63,89.32,26414.54,10990.08,15424.46,0,conventional,2017,Albany,,,,,
3/19/2017,1.6,92774.61,2332.96,72033.15,140.57,18267.93,8302.27,9965.66,0,conventional,2017,Albany,,,,,
4/30/2017,1.74,3046.63,388.81,280.28,0,2377.54,2377.54,0,0,organic,2017,Albany,,,,,
5/28/2017,1.8,121869.11,2345.65,106690.16,105.74,12727.56,6141.75,6029.14,556.67,conventional,2017,Albany,,,,,Jun-16
6/4/2017,1.7,84842.97,1923.04,72573.09,100.07,10246.77,2834.14,6342.63,1070,conventional,2017,Albany,,,,,
6/25/2017,2.13,2898.81,142.46,295.6,0,2460.75,2460.75,0,0,organic,2017,Albany,,,,,
8/27/2017,1.91,2525.28,44.15,210.54,0,2270.59,2270.59,0,0,organic,2017,Albany,,,,,
9/17/2017,1.41,80109.29,3986.2,66934.64,33.59,9154.86,5289.78,3851.75,13.33,conventional,2017,Albany,,,,,
9/24/2017,1.64,68539.64,2508.62,56023.16,74.82,9933.04,5391.35,4541.69,0,conventional,2017,Albany,,,,,
12/10/2017,1.29,92325.53,3220.05,75147.56,104.36,13853.56,7268.21,6585.35,0,conventional,2017,Albany,,,,,
1/8/2018,0.981850616,85620.06,2737.83,66313.02,39.93,16445.82,0,0,0,Conventional,2018,Albany,,,,,
1/8/2018,1.520007464,4178.23,52.37,349.26,0,3776.61,0,0,0,Organic,2018,Albany,,,,,
1/14/2018,1.162779285,83021.92,2686.8,66291.88,38.68,13947.86,0,0,0,Conventional,2018,Albany,,,,,
1/14/2018,1.573900703,3558.33,8.77,254.04,0,3295.51,0,0,0,Organic,2018,Albany,,,,,
1/21/2018,0.931456191,117395.16,2888.53,100270.55,82.85,13647.13,0,0,0,Conventional,2018,Albany,,,,,
1/21/2018,1.677814172,2811.58,17.55,212.05,0,2581.98,0,0,0,Organic,2018,Albany,,,,,
1/28/2018,1.141447956,82598.1,2876.73,65054.47,52.21,14434.08,0,0,0,Conventional,2018,Albany,,,,,
1/28/2018,1.313517871,6092.11,454.11,320.68,0,5317.32,0,0,0,Organic,2018,Albany,,,,,
2/4/2018,1.577044144,189926.72,7066.34,170539.03,130.57,11285.84,0,0,0,Conventional,2018,Albany,,,,,
2/4/2018,1.652256643,3360.71,115.1,356.36,0,2889.24,0,0,0,Organic,2018,Albany,,,,,
2/11/2018,0.880401237,107113.67,7683.44,83059.79,58.59,15242.96,0,0,0,Conventional,2018,Albany,,,,,
2/11/2018,1.586027502,3233.39,60.97,245.76,0,2926.66,0,0,0,Organic,2018,Albany,,,,,
2/18/2018,1.065320448,74303.71,5166.2,52908.41,70.88,15190.82,0,0,0,Conventional,2018,Albany,,,,,
2/18/2018,1.517962305,6929.55,4264.28,214.58,0,2450.69,0,0,0,Organic,2018,Albany,,,,,
2/25/2018,1.329966894,92450.01,9628.84,51245.81,45.36,30285.62,0,0,0,Conventional,2018,Albany,,,,,
2/25/2018,1.499619611,4509.98,810.49,448.47,0,3251.02,0,0,0,Organic,2018,Albany,,,,,
3/4/2018,0.836577151,119703.05,10931.46,88478.86,90.68,18549.26,0,0,0,Conventional,2018,Albany,,,,,
3/4/2018,1.619469829,3145.93,306.06,247.08,0,2592.79,0,0,0,Organic,2018,Albany,,,,,
3/11/2018,0.962325524,125080.42,14532.91,94050.39,66.15,14056.04,0,0,0,Conventional,2018,Albany,,,,,
3/11/2018,1.839732402,2098.62,129.56,191.76,0,1776,0,0,0,Organic,2018,Albany,,,,,
3/18/2018,1.405372869,93154.16,12120.69,52084.11,51.98,26908.23,0,0,0,Conventional,2018,Albany,,,,,
3/18/2018,1.819026414,2617.87,271.59,251.11,0,2087.38,0,0,0,Organic,2018,Albany,,,,,
3/25/2018,0.858400321,129524.05,15034.31,92327.75,61.59,19261.93,0,0,0,Conventional,2018,Albany,,,,,
3/25/2018,1.888241636,1892.15,42.21,227.57,0,1622.37,0,0,0,Organic,2018,Albany,,,,,
4/1/2018,1.046780591,98799.94,12614.66,62032.39,61.59,22510.23,0,0,0,Conventional,2018,Albany,,,,,
4/1/2018,1.857165768,2321.73,146.08,220.82,0,1954.84,0,0,0,Organic,2018,Albany,,,,,
4/8/2018,0.905516645,123405.24,14876.62,89869.16,92.41,17215.98,0,0,0,Conventional,2018,Albany,,,,,
4/8/2018,1.913255106,1983.5,68.4,173.33,0,1741.77,0,0,0,Organic,2018,Albany,,,,,
4/15/2018,0.792240368,151218.19,16366.68,115149.29,149.39,17313.25,0,0,0,Conventional,2018,Albany,,,,,
4/15/2018,1.592293699,2882.88,52.14,710.03,0,2120.71,0,0,0,Organic,2018,Albany,,,,,
4/22/2018,0.913008307,103926.64,14619.99,70925.28,714.34,15693.56,0,0,0,Conventional,2018,Albany,,,,,
4/22/2018,1.632454331,2637.22,189.4,223.53,0,2216.52,0,0,0,Organic,2018,Albany,,,,,
4/29/2018,0.751243219,145221.98,18609.17,103127.74,134.76,21386.5,0,0,0,Conventional,2018,Albany,,,,,
4/29/2018,1.924022647,2354.12,36.6,391.99,0,1925.53,0,0,0,Organic,2018,Albany,,,,,
5/6/2018,0.942287218,166655.79,17758.64,132571.3,367.61,14049.05,0,0,0,Conventional,2018,Albany,,,,,
5/6/2018,1.85511439,2082.1,36.34,203.16,0,1842.6,0,0,0,Organic,2018,Albany,,,,,
5/13/2018,0.880546619,122161.04,16130.59,81836.27,204.2,21707.08,0,0,0,Conventional,2018,Albany,,,,,
5/13/2018,1.618336463,3475.07,112.34,337.51,0,3025.22,0,0,0,Organic,2018,Albany,,,,,
5/20/2018,0.776028683,123128.62,14650.07,92362.85,221.69,14212.83,0,0,0,Conventional,2018,Albany,,,,,
5/20/2018,1.418795772,4807.79,84.06,368.2,0,4355.53,0,0,0,Organic,2018,Albany,,,,,
5/27/2018,0.886422213,129276,18074.01,88129.74,210.11,20739.03,0,0,0,Conventional,2018,Albany,,,,,
5/27/2018,0.97653696,6300.67,45.9,227.64,0,6027.13,0,0,0,Organic,2018,Albany,,,,,
6/3/2018,1.304162725,115747.84,20156.08,78077.85,193.96,13564.2,0,0,0,Conventional,2018,Albany,,,,,
6/3/2018,1.081308735,5583.18,237.88,232.15,0,5110.54,0,0,0,Organic,2018,Albany,,,,,
6/10/2018,0.781516643,140868.13,18444.27,97763.49,163.49,21201.39,0,0,0,Conventional,2018,Albany,,,,,
6/10/2018,1.804657547,2751.91,28.25,332.02,0,2391.64,0,0,0,Organic,2018,Albany,,,,,
6/17/2018,0.912682477,155604.26,20174.04,113767.95,226.01,18581.14,0,0,0,Conventional,2018,Albany,,,,,
6/17/2018,1.769411512,2409.01,214.27,252.14,0,1942.6,0,0,0,Organic,2018,Albany,,,,,
6/24/2018,1.288713731,110515.53,19124.25,75112.37,211.54,13076.63,0,0,0,Conventional,2018,Albany,,,,,
6/24/2018,1.766656679,2511.67,60.64,223.87,0,2224.55,0,0,0,Organic,2018,Albany,,,,,
7/1/2018,0.91669634,124331.64,19233.05,84966,246.65,17275.2,0,0,0,Conventional,2018,Albany,,,,,
7/1/2018,1.625684035,3374.6,64.26,173.1,0,3130.94,0,0,0,Organic,2018,Albany,,,,,
7/8/2018,1.416414123,115215.6,14701.2,83180.19,193.02,15729.74,0,0,0,Conventional,2018,Albany,,,,,
7/8/2018,1.490467274,3360.24,94.03,206.83,0,2416.78,0,0,0,Organic,2018,Albany,,,,,
7/15/2018,1.021925587,118704.21,10257.62,87719.52,267.58,18724.11,0,0,0,Conventional,2018,Albany,,,,,
7/15/2018,1.74477989,2703.04,146.87,196.44,0,2309.33,0,0,0,Organic,2018,Albany,,,,,
7/22/2018,0.95468683,118723.97,8970.44,92841.14,273.02,12187.12,0,0,0,Conventional,2018,Albany,,,,,
7/22/2018,1.533173023,3920.62,66.89,171.89,0,3681.84,0,0,0,Organic,2018,Albany,,,,,
7/29/2018,0.931130167,130749.1,7172.25,108011.35,228.99,13567.83,0,0,0,Conventional,2018,Albany,,,,,
7/29/2018,1.704742156,2863.69,116.11,196.08,0,2551.51,0,0,0,Organic,2018,Albany,,,,,
8/5/2018,1.068243658,103916.27,5686.48,70962.83,229.71,25282.74,0,0,0,Conventional,2018,Albany,,,,,
8/5/2018,1.867631071,2253.67,47.34,376.32,0,1830.01,0,0,0,Organic,2018,Albany,,,,,
8/12/2018,0.874965206,140608.94,5039.81,121349.69,216.41,12000.62,0,0,0,Conventional,2018,Albany,,,,,
8/12/2018,1.903642673,1870.87,18.15,376.57,0,1476.14,0,0,0,Organic,2018,Albany,,,,,
8/19/2018,1.533906322,91383.4,6831.4,63476.99,196.56,18690.32,0,0,0,Conventional,2018,Albany,,,,,
8/19/2018,1.890210554,2136.77,31.48,446.06,0,1659.23,0,0,0,Organic,2018,Albany,,,,,
8/26/2018,0.95758822,120506.51,5117.13,102057.4,132.3,11499.86,0,0,0,Conventional,2018,Albany,,,,,
8/26/2018,1.896331897,1728.2,101.81,409.03,0,1217.37,0,0,0,Organic,2018,Albany,,,,,
9/2/2018,1.657833618,87542.65,4612.02,68718.45,154.19,12699.85,0,0,0,Conventional,2018,Albany,,,,,
9/2/2018,1.88222676,2842.28,44.89,649.62,0,2147.76,0,0,0,Organic,2018,Albany,,,,,
9/9/2018,0.92314324,120207.7,3283.82,98942.49,112.46,16306.13,0,0,0,Conventional,2018,Albany,,,,,
9/9/2018,1.882187334,2637.76,30.28,451.04,0,2156.44,0,0,0,Organic,2018,Albany,,,,,
9/16/2018,1.52184267,78154.35,3150.08,58416.46,130.41,14841.25,0,0,0,Conventional,2018,Albany,,,,,
9/16/2018,1.814090126,2263.7,13.34,323.63,0,1926.73,0,0,0,Organic,2018,Albany,,,,,
9/23/2018,1.546692345,77866.65,3316.86,60778.42,191.12,12432.91,0,0,0,Conventional,2018,Albany,,,,,
9/23/2018,1.849340173,2519.68,31.57,399.35,0,2088.76,0,0,0,Organic,2018,Albany,,,,,
9/30/2018,0.87742427,109015.8,2621.82,89500.06,117.38,15745.47,0,0,0,Conventional,2018,Albany,,,,,
9/30/2018,1.840248357,2531.11,31.58,476.97,0,2022.56,0,0,0,Organic,2018,Albany,,,,,
10/7/2018,1.507933844,70314.91,2481.78,52808.87,115.27,13665.47,0,0,0,Conventional,2018,Albany,,,,,
10/7/2018,1.52882926,3755.1,14.62,323.93,0,3416.55,0,0,0,Organic,2018,Albany,,,,,
10/14/2018,1.1812438,74532.66,2940.93,53798.12,90.72,17029.55,0,0,0,Conventional,2018,Albany,,,,,
10/14/2018,1.596477603,3388.71,61.98,248.34,0,3078.4,0,0,0,Organic,2018,Albany,,,,,
10/21/2018,1.324283299,93347.82,3484.2,79672.45,106.79,9882.55,0,0,0,Conventional,2018,Albany,,,,,
10/21/2018,1.57108487,2826.78,41.74,274.95,0,2510.09,0,0,0,Organic,2018,Albany,,,,,
10/28/2018,1.336218304,81420.28,3369.82,61152.31,92.61,16315.97,0,0,0,Conventional,2018,Albany,,,,,
10/28/2018,1.610903962,3181.2,21.91,406.87,0,2752.42,0,0,0,Organic,2018,Albany,,,,,
11/4/2018,1.373793345,73888.28,3757.57,58848.42,105.84,10674.37,0,0,0,Conventional,2018,Albany,,,,,
11/4/2018,1.77206478,2893.4,32.76,530.6,0,2330.04,0,0,0,Organic,2018,Albany,,,,,
11/11/2018,1.109358781,87219.08,3861.13,68498.17,124.74,14098.77,0,0,0,Conventional,2018,Albany,,,,,
11/11/2018,1.754262396,2654.81,23.05,446.94,0,2184.82,0,0,0,Organic,2018,Albany,,,,,
11/18/2018,1.127652617,78401.99,3762.11,62427.19,76.55,11773.89,0,0,0,Conventional,2018,Albany,,,,,
11/18/2018,1.506096253,4924.47,1826.09,497.52,0,2600.86,0,0,0,Organic,2018,Albany,,,,,
11/25/2018,1.117922272,61219.95,2703.12,48944.64,99.23,9240.92,0,0,0,Conventional,2018,Albany,,,,,
11/25/2018,1.593241836,2679.13,51.99,169.03,0,2458.11,0,0,0,Organic,2018,Albany,,,,,
12/2/2018,1.614559769,63236.9,2985.4,51193.37,79.85,8268.21,0,0,0,Conventional,2018,Albany,,,,,
12/2/2018,1.534744482,4454.26,22.92,363.55,0,4067.79,0,0,0,Organic,2018,Albany,,,,,
12/9/2018,1.512630788,67159.87,3418.7,55502.87,104.48,7486.9,0,0,0,Conventional,2018,Albany,,,,,
12/9/2018,1.473100193,3986.97,84.49,394.28,0,3508.2,0,0,0,Organic,2018,Albany,,,,,
12/16/2018,1.004875215,103752.27,3166.63,90299.65,105.44,9462.71,0,0,0,Conventional,2018,Albany,,,,,
12/16/2018,1.515731124,3034.26,37.35,358.8,0,2638.11,0,0,0,Organic,2018,Albany,,,,,
12/23/2018,1.037738865,87811.51,3328.87,74625.65,101.3,9535.38,0,0,0,Conventional,2018,Albany,,,,,
12/23/2018,1.449564137,3587.03,112.74,306.1,0,3168.19,0,0,0,Organic,2018,Albany,,,,,
12/30/2018,0.862452558,104963.36,2730.25,94021.5,174.23,7834.55,0,0,0,Conventional,2018,Albany,,,,,
12/30/2018,1.481511384,2872.83,18.02,279.76,0,2575.04,0,0,0,Organic,2018,Albany,,,,,
1/7/2019,0.921801566,111277.47,3541.9,95713.8,149.31,10904.73,0,0,0,Conventional,2019,Albany,,,,,
1/7/2019,1.517705937,4291.27,31.26,520.79,0,3739.23,0,0,0,Organic,2019,Albany,,,,,
1/13/2019,0.906561129,115663.46,2920.69,101796.05,181.26,10072.66,0,0,0,Conventional,2019,Albany,,,,,
1/13/2019,1.387891815,5112.4,34.52,438.09,0,4639.79,0,0,0,Organic,2019,Albany,,,,,
1/20/2019,0.998831048,146107.67,4322.2,123402.11,179.63,17223.11,0,0,0,Conventional,2019,Albany,,,,,
1/20/2019,1.581582999,3967.84,15.56,436.97,0,3515.31,0,0,0,Organic,2019,Albany,,,,,
1/27/2019,1.052065122,80297.47,3380.41,64018.59,210.82,11065.69,0,0,0,Conventional,2019,Albany,,,,,
1/27/2019,1.44123489,3413.69,16.68,383.29,0,3013.73,0,0,0,Organic,2019,Albany,,,,,
2/3/2019,0.798757561,186952.91,4371.56,169578.61,357.67,11217.3,0,0,0,Conventional,2019,Albany,,,,,
2/3/2019,1.37347914,3957.36,29.15,361.27,0,3566.93,0,0,0,Organic,2019,Albany,,,,,
2/10/2019,0.882870237,109116.23,4769.7,91719.84,158.76,11024.2,0,0,0,Conventional,2019,Albany,,,,,
2/10/2019,1.333021047,3889.78,150.7,390.89,0,3348.2,0,0,0,Organic,2019,Albany,,,,,
2/17/2019,1.039362128,93261.92,4653.38,76693.32,219.24,10975.71,0,0,0,Conventional,2019,Albany,,,,,
2/17/2019,1.446731462,3438.79,73.57,462.54,0,2902.68,0,0,0,Organic,2019,Albany,,,,,
2/24/2019,0.880905745,114022.18,3766.89,98810.45,200.67,9638.35,0,0,0,Conventional,2019,Albany,,,,,
2/24/2019,1.47638697,3559.86,45.38,524.8,0,2989.68,0,0,0,Organic,2019,Albany,,,,,
3/3/2019,1.08048977,95694.77,3949.87,79013.49,231.53,10868.92,0,0,0,Conventional,2019,Albany,,,,,
3/3/2019,1.313802977,5101.69,122.68,448.44,0,4530.57,0,0,0,Organic,2019,Albany,,,,,
3/10/2019,0.821932997,157968.18,3668.23,143421.21,244.83,10022,0,0,0,Conventional,2019,Albany,,,,,
3/10/2019,1.285681183,4986.52,55.47,371.47,0,4559.58,0,0,0,Organic,2019,Albany,,,,,
3/17/2019,1.049817661,95303.66,3858.18,75480.68,230.91,15336.03,0,0,0,Conventional,2019,Albany,,,,,
3/17/2019,1.355184624,4548.87,105.76,427.14,0,4015.97,0,0,0,Organic,2019,Albany,,,,,
3/24/2019,0.909840811,138460.47,3989.66,121152.81,192.78,12607.55,0,0,0,Conventional,2019,Albany,,,,,
3/24/2019,1.374180302,4195.16,70.09,428.06,0,3691.82,0,0,0,Organic,2019,Albany,,,,,
3/31/2019,1.044839841,99901.1,3637.65,77480.03,219,18272.37,0,0,0,Conventional,2019,Albany,,,,,
3/31/2019,1.744772394,2507.56,34.84,389.5,0,2083.22,0,0,0,Organic,2019,Albany,,,,,
4/7/2019,0.839517566,145373.38,4795.7,126467.5,285.88,13593.42,0,0,0,Conventional,2019,Albany,,,,,
4/7/2019,1.749032848,2609.52,111.6,482.81,0,2015.11,0,0,0,Organic,2019,Albany,,,,,
4/14/2019,1.132011896,88281.25,3954.36,71422.96,241.82,12536.9,0,0,0,Conventional,2019,Albany,,,,,
4/14/2019,1.655638543,4166.59,1298.2,745.98,0,2106.85,0,0,0,Organic,2019,Albany,,,,,
4/21/2019,1.475811756,94805.51,3476.38,77648.98,310.4,13260.47,0,0,0,Conventional,2019,Albany,,,,,
4/21/2019,2.15471281,2332.91,238.59,606.32,0,1473.71,0,0,0,Organic,2019,Albany,,,,,
4/28/2019,1.542950896,79953.06,3706.59,64053.03,257.29,11807.4,0,0,0,Conventional,2019,Albany,,,,,
4/28/2019,2.078387448,2135.86,131.15,543.74,0,1458.36,0,0,0,Organic,2019,Albany,,,,,
